Date,appeal_count,data_type,lower_ci,upper_ci,best_model,model_mae,model_rmse,model_r2,model_mape
2025-04-13,91.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-14,160.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-15,167.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-16,141.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-17,167.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-18,123.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-19,90.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-20,70.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-21,84.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-22,135.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-23,129.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-24,128.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-25,179.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-26,90.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-27,85.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-28,114.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-29,93.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-04-30,146.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-01,135.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-02,117.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-03,78.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-04,131.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-05,141.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-06,101.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-07,136.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-08,95.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-09,131.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-10,92.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-11,78.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-12,126.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-13,113.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-14,103.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-15,117.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-16,106.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-17,66.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-18,69.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-19,137.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-20,122.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-21,122.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-22,91.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-23,117.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-24,66.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-25,117.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-26,138.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-27,303.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-28,237.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-29,149.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-30,136.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-05-31,100.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-01,79.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-02,168.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-03,186.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-04,149.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-05,192.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-06,214.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-07,110.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-08,113.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-09,199.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-10,178.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-11,132.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-12,120.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-13,153.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-14,88.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-15,87.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-16,166.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-17,149.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-18,128.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-19,110.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-20,141.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-21,95.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-22,110.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-23,139.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-24,147.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-25,175.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-26,148.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-27,126.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-28,107.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-29,84.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-06-30,166.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-01,164.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-02,159.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-03,164.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-04,149.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-05,73.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-06,73.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-07,171.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-08,174.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-09,156.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-10,189.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-11,132.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-12,106.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-13,69.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-14,197.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-15,134.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-16,183.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-17,149.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-18,190.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-19,71.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-20,69.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-21,140.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-22,147.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-23,143.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-24,134.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-25,144.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-26,100.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-27,109.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-28,297.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-29,189.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-30,177.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-07-31,132.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-01,131.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-02,75.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-03,69.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-04,139.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-05,147.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-06,228.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-07,191.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-08,126.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-09,77.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-10,67.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-11,169.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-12,150.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-13,165.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-14,137.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-15,155.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-16,86.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-17,144.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-18,125.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-19,139.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-20,151.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-21,123.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-22,132.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-23,68.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-24,45.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-25,119.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-26,97.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-27,118.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-28,168.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-29,157.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-30,90.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-08-31,81.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-01,165.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-02,129.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-03,122.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-04,144.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-05,140.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-06,78.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-07,74.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-08,171.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-09,112.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
